zotero_key,pub_date,emission_title,Date,Item Type,Title,Guest,Publication Title,Url,hashtag_emission,hashtag_candidat,Publisher,twitch_id,twitter_pathfile,titre,list_youtube_id
NAA8HGSV,,,2022-03-16,tvBroadcast,Face à Baba : Le Pen,"Le Pen, Marine",Face à Baba,,#FaceABaba|#Mlafrance|#MarinePresidente,,C8,,files/twitter/lePen/2022-03-16-lepen.xlsx,faceàbabalepen,
GLK4YQDH,,,2022-03-16,radioBroadcast,Europe Matin : Hidalgo,"Hidalgo, Anne",Europe Matin,,#Hidalgo2022 #Europe1,,Europe 1,,,europematinhidalgo,
7JDYAKP2,,,2022-03-16,radioBroadcast,L'invité de 8h20 : Pécresse,"Pécresse, Valérie",L'invité de 8h20,,#79Inter|#Pécresse2022,,France Inter,,,linvitéde8h20pécresse,e077e2e0-0958-423c-965b-a900825ec0ea
CE3MV98U,,,2022-03-17,tvBroadcast,"Elysée 2022 : (multiple) Hidalgo, Dupont-Aignan, Zemmour, Jadot","Hidalgo, Anne; Dupont-Aignan, Nicolas; Zemmour, Eric; Jadot, Yannick",Elysée 2022,,#Elysée2022|#Hidalgo2022|#ZemmourPresident|#2022NDA,,France 2,,files/twitter/2022-03-17-elysee.xlsx,elysée2022multiplehidalgodupontaignanzemmourjadot,57c2d135-b67c-4e20-8f09-211e771bfeb8|1911dfca-2942-4ed1-be5d-bf1b289f4a28
5NIK2BWG,,,2022-03-17,tvBroadcast,L'interview Apolline Matin : Jadot,"Jadot, Yannick",Apolline Matin,,#ApollineMatin|#Jadot2022|#FaireFace,,RMC/BFMTV,,,linterviewapollinematinjadot,2fe2c6ea-fb0f-4815-bc61-de719e9eed51|7e9970e6-2437-4b66-93ae-f9363b4a6b6f
P3SKQDHY,,,2022-03-18,radioBroadcast,L'invité de 8h20 : Le Pen,"Le Pen, Marine",L'invité de 8h20,,#79inter|#Mlafrance|#MarinePresidente|#Lepen,,France Inter,,,linvitéde8h20lepen,22532526-2dc8-44e0-8ae4-1db8a32b1dc9
BX2563EH,,,2022-03-19,radioBroadcast,L'invité de 7h50 : Poutou,"Poutou, Philippe",L'invité de 7h50,,#Le69Inter|#Elysee2022|#Poutou,,France Inter,,,linvitéde7h50poutou,d8f4b42f-6ca6-487d-ac18-5457bb237f69
ANPGPKN4,,,2022-03-20,radioBroadcast,L'invité de 7h50 : Lassalle,"Lassalle, Jean",L'invité de 7h50,,#le69inter|#JeanLassalle2022|#LaFranceAuthentique,,France Inter,,,linvitéde7h50lassalle,
L3LTBYD5,,,2022-03-20,tvBroadcast,Partie de campagne : Pécresse,"Pécresse, Valérie",Partie de campagne,,#Partiedecampagne|#20h|#Pecresse2022|#ValeriePecresse,,TF1,,,partiedecampagnepécresse,
48CGQQ6G,,,2022-03-21,tvBroadcast,C à vous : Arthaud,"Arthaud, Nathalie",C à vous,,,,France 5,,,càvousarthaud,
HHXMSG8P,,,2022-03-21,radioBroadcast,L'invité de 7h50 : Roussel,"Roussel, Fabien",L'invité de 7h50,,#le79Inter|#Roussel2022,,France Inter,,,linvitéde7h50roussel,682383c1-d5fe-4a36-98bf-7c7737a7950e
ZFRLUK4B,,,2022-03-21,radioBroadcast,Ma France : Lassalle,"Lassalle, Jean",Ma France,,#JeanLassalle2022|#laFranceAuthentique|#MaFrance,,France Bleu,,,mafrancelassalle,
P4DV6UZM,,,2022-03-22,radioBroadcast,L'invité de 8h20 : Jadot,"Jadot, Yannick",L'invité de 8h20,,#le79Inter|#Jadot2022|#FaireFace,,France Inter,,,linvitéde8h20jadot,5737a1f2-b8e5-4829-b1bf-0d5c339e6fea
YLZX5LZT,,,2022-03-23,tvBroadcast,Face à Baba : Pécresse,"Pécresse, Valérie",Face à Baba,https://www.cnews.fr/divertissement/2022-03-23/face-baba-sur-c8-qui-sont-les-invites-qui-debattront-ce-soir-avec-valerie,#FaceABaba|#Pecresse2022|#pecresse,,C8,,,faceàbabapécresse,
9HXBPR6W,,,2022-03-23,tvBroadcast,19h45 - M6 : Macron,"Macron, Emmanuel",19h45 - M6,,"#Macron19h45, #avecvous, #MacronDegage2022, #Macron2022, #5ansdeplus, #StopMacron",,M6,,,19h45m6macron,
QIYVG8J8,,,2022-03-23,tvBroadcast,ADN INA : Arthaud,"Arthaud, Nathalie",ADN INA,,,,INA,,,adninaarthaud,8c3e191b-fdfe-4916-a388-5312f3b6d6bf
AMCQD4FP,,,2022-03-23,tvBroadcast,Carnets de campagne - l'invité : Mélenchon,"Mélenchon, Jean-Luc",Carnets de campagne - l'invité,,#MelenchonTF1|#Le20h|#Melenchon2022,,TF1,,,carnetsdecampagnelinvitémélenchon,
